Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.111,66.091,0.902,265.764,227.048,38.716,307.812,3
24.152,66.069,0.901,252.34,216.463,35.877,295.605,3
24.199,66.056,0.902,239.709,206.982,32.727,382.275,3
24.251,66.042,0.905,228.241,198.874,29.367,366.406,3
24.31,66.017,0.911,218.563,192.697,25.866,285.84,3
24.377,65.979,0.918,211.123,188.819,22.304,387.158,3
24.444,65.958,0.927,205.942,187.187,18.755,285.84,3
24.5,65.97,0.934,202.995,187.701,15.294,351.758,3
24.546,66.008,0.941,202.265,190.245,12.02,328.564,3
24.587,66.07,0.946,203.805,194.811,8.994,251.66,3
24.62,66.152,0.95,207.817,201.507,6.31,341.992,3
24.644,66.25,0.952,214.489,210.393,4.096,361.523,3
24.662,66.348,0.954,223.921,221.543,2.378,255.322,3
24.681,66.434,0.954,235.872,234.713,1.159,326.123,3
24.698,66.498,0.952,249.695,249.257,0.438,249.218,3
24.711,66.533,0.95,264.738,264.537,0.201,316.357,3
24.719,66.534,0.946,281.05,280.616,0.434,246.777,3
24.719,66.524,0.941,298.784,297.71,1.074,367.627,3
24.704,66.518,0.935,317.784,315.69,2.094,345.654,3
24.668,66.518,0.931,338.055,334.558,3.497,344.433,3
24.611,66.529,0.927,359.269,354.031,5.238,371.289,3
24.54,66.547,0.926,380.62,373.383,7.237,331.006,3
24.46,66.573,0.927,401.326,391.912,9.414,331.006,3
24.377,66.614,0.929,420.632,408.963,11.669,376.172,3
24.295,66.67,0.933,437.621,423.707,13.914,335.888,3
24.211,66.73,0.939,451.769,435.641,16.128,339.55,3
24.132,66.763,0.945,462.864,444.583,18.281,329.785,3
24.067,66.745,0.952,470.371,450.121,20.25,311.474,3
24.018,66.675,0.959,473.766,451.789,21.977,367.627,3
23.985,66.565,0.964,472.941,449.484,23.457,280.957,3
23.969,66.424,0.969,468.103,443.478,24.625,395.703,3
23.97,66.268,0.972,459.695,434.208,25.487,359.082,3
23.978,66.117,0.973,448.046,421.976,26.07,210.156,3
23.988,65.983,0.973,433.222,406.846,26.376,409.131,3
24.001,65.879,0.971,415.47,388.984,26.486,316.357,3
24.014,65.816,0.968,395.368,368.874,26.494,370.068,3
24.026,65.819,0.966,373.654,347.142,26.512,305.371,3
24.046,65.885,0.964,351.015,324.359,26.656,368.847,3
24.083,65.989,0.963,328.204,301.256,26.948,331.006,3
24.141,66.114,0.962,306.053,278.671,27.382,322.461,3
24.215,66.223,0.961,285.711,257.728,27.983,268.75,3
24.3,66.289,0.961,267.893,239.16,28.733,337.109,3
24.386,66.303,0.96,252.968,223.397,29.571,268.75,3
24.461,66.256,0.959,241.446,211.039,30.407,294.384,3
24.516,66.15,0.956,233.161,202.006,31.155,254.101,3
24.547,65.998,0.952,227.803,196.027,31.776,276.074,3
24.55,65.815,0.947,225.116,192.855,32.261,320.019,3
24.526,65.619,0.941,224.715,192.142,32.573,333.447,3
24.484,65.426,0.934,226.268,193.58,32.688,268.75,3
24.433,65.237,0.928,229.567,196.949,32.618,444.531,3
24.378,65.042,0.924,234.044,201.704,32.34,400.586,3
24.326,64.864,0.922,238.906,207.027,31.879,371.289,3
24.29,64.711,0.922,243.896,212.626,31.27,266.308,3
24.277,64.587,0.924,249.096,218.591,30.505,250.439,3
24.286,64.508,0.928,254.398,224.79,29.608,310.254,3
24.315,64.475,0.933,259.441,230.828,28.613,370.068,3
24.358,64.478,0.938,263.779,236.218,27.561,306.591,3
24.402,64.501,0.943,267.338,240.84,26.498,356.64,3
24.43,64.543,0.948,269.934,244.485,25.449,274.853,3
24.438,64.603,0.951,271.169,246.764,24.405,352.978,3
24.425,64.686,0.953,270.61,247.267,23.343,329.785,3
24.391,64.791,0.953,268.031,245.725,22.306,321.24,3
24.344,64.901,0.953,263.952,242.599,21.353,362.744,3
24.293,65.009,0.952,259.089,238.606,20.483,309.033,3
24.255,65.103,0.95,253.866,234.146,19.72,301.709,3
24.25,65.178,0.949,248.539,229.477,19.062,310.254,3
